1	12	5	0	0
1	12	6	0	0
1	12	7	0	0
1	12	8	26	19
1	12	9	75	55
1	12	10	106	78
1	12	11	123	91
1	12	12	155	114
1	12	13	191	141
1	12	14	106	78
1	12	15	84	62
1	12	16	77	57
1	12	17	26	19
1	12	18	0	0
1	12	19	0	0
1	12	20	0	0
1	12	21	0	0
1	12	22	0	0
1	12	23	0	0
1	12	24	0	0
1	13	1	0	0
1	13	2	0	0
1	13	3	0	0
1	13	4	0	0
1	13	5	0	0
1	13	6	0	0
1	13	7	0	0
1	13	8	41	24
1	13	9	171	96
1	13	10	309	123
1	13	11	424	120
1	13	12	489	111
1	13	13	489	111
1	13	14	424	120
1	13	15	309	123
1	13	16	171	96
1	13	17	41	24
1	13	18	0	0
1	13	19	0	0
1	13	20	0	0
1	13	21	0	0
1	13	22	0	0
1	13	23	0	0
1	13	24	0	0
1	14	1	0	0
1	14	2	0	0
1	14	3	0	0
1	14	4	0	0
1	14	5	0	0
1	14	6	0	0
1	14	7	0	0
1	14	8	43	22
1	14	9	170	86
1	14	10	312	107
1	14	11	427	104
1	14	12	403	188
1	14	13	467	123
1	14	14	427	104
1	14	15	295	124
1	14	16	168	88
1	14	17	43	22
1	14	18	0	0
1	14	19	0	0
1	14	20	0	0
1	14	21	0	0
1	14	22	0	0
1	14	23	0	0
1	14	24	0	0
1	15	1	0	0
1	15	2	0	0
1	15	3	0	0
1	15	4	0	0
1	15	5	0	0
1	15	6	0	0
1	15	7	0	0
1	15	8	33	28
1	15	9	168	93
1	15	10	283	142
1	15	11	395	146
1	15	12	469	129
1	15	13	483	113
1	15	14	435	102
1	15	15	315	111
1	15	16	168	93
1	15	17	39	27
1	15	18	0	0
1	15	19	0	0
1	15	20	0	0
1	15	21	0	0
1	15	22	0	0
1	15	23	0	0
1	15	24	0	0
1	16	1	0	0
1	16	2	0	0
1	16	3	0	0
1	16	4	0	0
1	16	5	0	0
1	16	6	0	0
1	16	7	0	0
1	16	8	33	25
1	16	9	124	96
1	16	10	238	157
1	16	11	370	155
1	16	12	494	94
1	16	13	376	199
1	16	14	438	91
1	16	15	323	94
1	16	16	182	74
1	16	17	41	25
1	16	18	0	0
1	16	19	0	0
1	16	20	0	0
1	16	21	0	0
1	16	22	0	0
1	16	23	0	0
1	16	24	0	0
1	17	1	0	0
1	17	2	0	0
1	17	3	0	0
1	17	4	0	0
1	17	5	0	0
1	17	6	0	0
1	17	7	0	0
1	17	8	1	1
1	17	9	7	6
1	17	10	28	25
1	17	11	31	28
1	17	12	50	45
1	17	13	55	50
1	17	14	43	39
1	17	15	19	17
1	17	16	4	3
1	17	17	1	1
1	17	18	0	0
1	17	19	0	0
1	17	20	0	0
1	17	21	0	0
1	17	22	0	0
1	17	23	0	0
1	17	24	0	0
1	18	1	0	0
1	18	2	0	0
1	18	3	0	0
1	18	4	0	0
1	18	5	0	0
1	18	6	0	0
1	18	7	0	0
1	18	8	27	19
1	18	9	182	69
1	18	10	290	112
1	18	11	267	176
1	18	12	191	135
1	18	13	371	181
1	18	14	377	135
1	18	15	244	138
1	18	16	178	72
1	18	17	44	23
1	18	18	0	0
1	18	19	0	0
1	18	20	0	0
1	18	21	0	0
1	18	22	0	0
1	18	23	0	0
1	18	24	0	0
1	19	1	0	0
1	19	2	0	0
1	19	3	0	0
1	19	4	0	0
1	19	5	0	0
1	19	6	0	0
1	19	7	0	0
1	19	8	46	22
1	19	9	135	83
1	19	10	196	126
1	19	11	280	168
1	19	12	241	159
1	19	13	243	161
1	19	14	146	97
1	19	15	189	124
1	19	16	54	36
1	19	17	16	10
1	19	18	0	0
1	19	19	0	0
1	19	20	0	0
1	19	21	0	0
1	19	22	0	0
1	19	23	0	0
1	19	24	0	0
1	20	1	0	0
1	20	2	0	0
1	20	3	0	0
1	20	4	0	0
1	20	5	0	0
1	20	6	0	0
1	20	7	0	0
1	20	8	34	22
1	20	9	139	82
1	20	10	181	116
1	20	11	245	155
1	20	12	410	147
1	20	13	351	177
1	20	14	341	149
1	20	15	246	128
1	20	16	161	78
1	20	17	47	22
1	20	18	0	0
1	20	19	0	0
1	20	20	0	0
1	20	21	0	0
1	20	22	0	0
1	20	23	0	0
1	20	24	0	0
1	21	1	0	0
1	21	2	0	0
1	21	3	0	0
1	21	4	0	0
1	21	5	0	0
1	21	6	0	0
1	21	7	0	0
1	21	8	24	18
1	21	9	27	20
1	21	10	170	126
1	21	11	217	161
1	21	12	387	188
1	21	13	223	165
1	21	14	188	140
1	21	15	157	116
1	21	16	72	54
1	21	17	27	20
1	21	18	0	0
1	21	19	0	0
1	21	20	0	0
1	21	21	0	0
1	21	22	0	0
1	21	23	0	0
1	21	24	0	0
